barcode	current_name	proposed_name	source	brand	chains	candidates
9531113142	שמפו Tow לשיער שמן 300מל	שמפו Tow לשיער שמן 300מל	trusted	פול מיטשל	1	שופרסל: שמפו Tow לשיער שמן 300מל
9531113166	שמפו Tow לשיער שמן 1ליטר	שמפו Tow לשיער שמן 1ליטר	trusted	פול מיטשל	1	שופרסל: שמפו Tow לשיער שמן 1ליטר
9531113210	שמפו 3 לניקוי עמוק 500	שמפו 3 לניקוי עמוק 500	trusted	פול מיטשל	1	שופרסל: שמפו 3 לניקוי עמוק 500
9531113272	שמפו מועשר באוופוהי 500מ	שמפו מועשר באוופוהי 500מ	trusted	פול מיטשל	1	שופרסל: שמפו מועשר באוופוהי 500מ
9531113494	דה קונדישנר ללא שטיפה1ל	דה קונדישנר ללא שטיפה1ל	trusted	פול מיטשל	1	שופרסל: דה קונדישנר ללא שטיפה1ל
9531114170	גלייז סופר סקלפט 250 מל	גלייז סופר סקלפט 250 מל	trusted	פול מיטשל	1	שופרסל: גלייז סופר סקלפט 250 מל
9531114187	גלייז סופר סקלפט 500מל	גלייז סופר סקלפט 500מל	trusted	פול מיטשל	1	שופרסל: גלייז סופר סקלפט 500מל
9531114194	גלייז סופר סקלפט 1 ליטר	גלייז סופר סקלפט 1 ליטר	trusted	פול מיטשל	1	שופרסל: גלייז סופר סקלפט 1 ליטר
9531114392	מוס תלתלים פלקסיבל 200מל	מוס תלתלים פלקסיבל 200מל	trusted	פול מיטשל	1	שופרסל: מוס תלתלים פלקסיבל 200מל
9531114408	"מוס פלקסיבל סטיל 500 מ""ל"	"מוס פלקסיבל סטיל 500 מ""ל"	trusted	פול מיטשל	1	"שופרסל: מוס פלקסיבל סטיל 500 מ""ל"
9531115900	קרם ריכוך 200 מל	קרם ריכוך 200 מל	trusted	פול מיטשל	1	שופרסל: קרם ריכוך 200 מל
9531116532	שמפו בלונד פלטינה 300 מל	שמפו בלונד פלטינה 300 מל	trusted	פול מיטשל	1	שופרסל: שמפו בלונד פלטינה 300 מל
9531117744	שמפו מועשר באוופוהי	שמפו מועשר באוופוהי	trusted	פול מיטשל	1	שופרסל: שמפו מועשר באוופוהי
9531117768	מסכת קרטין עמוק לשיער500	מסכת קרטין עמוק לשיער500	trusted	פול מיטשל	1	שופרסל: מסכת קרטין עמוק לשיער500
9531119366	טיפול בלונד לנצח 150 מל	טיפול בלונד לנצח 150 מל	trusted	פול מיטשל	1	שופרסל: טיפול בלונד לנצח 150 מל
9531119526	קרם בונה תלתלים200מל	קרם בונה תלתלים200מל	trusted	פול מיטשל	1	שופרסל: קרם בונה תלתלים200מל
9531119564	מגדיר תלתל אנטי פריז150מ	מגדיר תלתל אנטי פריז150מ	trusted	פול מיטשל	1	שופרסל: מגדיר תלתל אנטי פריז150מ
9531123622	פוראבר בלונד מרכך710מל	פוראבר בלונד מרכך710מל	trusted	פול מיטשל	1	שופרסל: פוראבר בלונד מרכך710מל
9531125992	שמפו אנטי פריז 250 מל	שמפו אנטי פריז 250 מל	trusted	פול מיטשל	1	שופרסל: שמפו אנטי פריז 250 מל
9533221110018	קולבי קטיפה 10 יחידות	קולבי קטיפה 10 יחידות	trusted	לא ידוע	1	"אבות אברהם בע""מ: קולבי קטיפה 10 יחידות"
9533221110049	קרש חיתוך 33*20	קרש חיתוך 33*20	trusted	לא ידוע	1	"אבות אברהם בע""מ: קרש חיתוך 33*20"
9551001410233	"משקה בטעם ליצ'י 325 מ""ל וידה"	"משקה בטעם ליצ'י 325 מ""ל וידה"	trusted	לא ידוע	1	"אלמשהדאוי קינג סטור בע""מ: משקה בטעם ליצ'י 325 מ""ל וידה"
9551001410295	"משקה בטעם פירות הדר 325 מ""ל  וידה"	"משקה בטעם פירות הדר 325 מ""ל  וידה"	trusted	לא ידוע	1	"אלמשהדאוי קינג סטור בע""מ: משקה בטעם פירות הדר 325 מ""ל  וידה"
9551001410301	"משקה  בטעם לימון 325 מ""ל וידה"	"משקה  בטעם לימון 325 מ""ל וידה"	trusted	לא ידוע	1	"אלמשהדאוי קינג סטור בע""מ: משקה  בטעם לימון 325 מ""ל וידה"
